2026-03-25,,,,,,,,,,,,,NYY-SFG,,,,,,,,,,,,,,,,,
2026-03-26,,KCR-ATL,WSH-CHC,BOS-CIN,,ARI-LAD,COL-MIA,CHW-MIL,PIT-NYM,TEX-PHI,,DET-SDP,,TBR-STL,,,MIN-BAL,,,,,LAA-HOU,,,,,CLE-SEA,,,
2026-03-27,,,,,,ARI-LAD,,,,,,DET-SDP,NYY-SFG,,,,,,,,,LAA-HOU,,,,,CLE-SEA,,,ATH-TOR
2026-03-28,,KCR-ATL,WSH-CHC,BOS-CIN,,ARI-LAD,COL-MIA,CHW-MIL,PIT-NYM,TEX-PHI,,DET-SDP,NYY-SFG,TBR-STL,,,MIN-BAL,,,,,LAA-HOU,,,,,CLE-SEA,,,ATH-TOR
2026-03-29,,KCR-ATL,WSH-CHC,BOS-CIN,,,COL-MIA,CHW-MIL,PIT-NYM,TEX-PHI,,,,TBR-STL,,,MIN-BAL,,,,,LAA-HOU,,,,,CLE-SEA,,,ATH-TOR
2026-03-30,DET-ARI,ATH-ATL,LAA-CHC,PIT-CIN,,CLE-LAD,CHW-MIA,TBR-MIL,,WSH-PHI,,SFG-SDP,,NYM-STL,,,TEX-BAL,,,,,BOS-HOU,MIN-KCR,,,,NYY-SEA,,,COL-TOR
2026-03-31,DET-ARI,ATH-ATL,LAA-CHC,PIT-CIN,,CLE-LAD,CHW-MIA,TBR-MIL,,WSH-PHI,,SFG-SDP,,NYM-STL,,,TEX-BAL,,,,,BOS-HOU,,,,,NYY-SEA,,,COL-TOR
2026-04-01,DET-ARI,ATH-ATL,LAA-CHC,PIT-CIN,,CLE-LAD,CHW-MIA,TBR-MIL,,WSH-PHI,,SFG-SDP,,NYM-STL,,,TEX-BAL,,,,,BOS-HOU,MIN-KCR,,,,NYY-SEA,,,COL-TOR
2026-04-02,ATL-ARI,,,,,,,,,,,,NYM-SFG,,,,,,TOR-CHW,,,,MIN-KCR,,,,,,,
2026-04-03,ATL-ARI,,,,PHI-COL,,,,,,BAL-PIT,,NYM-SFG,,LAD-WSH,HOU-ATH,,SDP-BOS,,CHC-CLE,STL-DET,,MIL-KCR,SEA-LAA,TBR-MIN,MIA-NYY,,,CIN-TEX,
2026-04-04,ATL-ARI,,,,PHI-COL,,,,,,BAL-PIT,,NYM-SFG,,LAD-WSH,HOU-ATH,,SDP-BOS,TOR-CHW,CHC-CLE,STL-DET,,MIL-KCR,SEA-LAA,TBR-MIN,MIA-NYY,,,CIN-TEX,
2026-04-05,ATL-ARI,,,,PHI-COL,,,,,,BAL-PIT,,NYM-SFG,,LAD-WSH,HOU-ATH,,SDP-BOS,TOR-CHW,CHC-CLE,STL-DET,,MIL-KCR,SEA-LAA,TBR-MIN,MIA-NYY,,,CIN-TEX,
2026-04-06,,,,,HOU-COL,,CIN-MIA,,,,SDP-PIT,,PHI-SFG,,STL-WSH,,,MIL-BOS,BAL-CHW,KCR-CLE,,,,ATL-LAA,DET-MIN,,,CHC-TBR,SEA-TEX,LAD-TOR
2026-04-07,,,,,HOU-COL,,CIN-MIA,,ARI-NYM,,SDP-PIT,,PHI-SFG,,STL-WSH,,,MIL-BOS,BAL-CHW,KCR-CLE,,,,ATL-LAA,DET-MIN,ATH-NYY,,CHC-TBR,SEA-TEX,LAD-TOR
2026-04-08,,,,,HOU-COL,,CIN-MIA,,ARI-NYM,,SDP-PIT,,PHI-SFG,,STL-WSH,,,MIL-BOS,BAL-CHW,KCR-CLE,,,,ATL-LAA,DET-MIN,ATH-NYY,,CHC-TBR,SEA-TEX,LAD-TOR
2026-04-09,,,,,,,CIN-MIA,,ARI-NYM,,,COL-SDP,,,,,,,,,,,CHW-KCR,,DET-MIN,ATH-NYY,,,,
2026-04-10,,CLE-ATL,PIT-CHC,LAA-CIN,,TEX-LAD,,WSH-MIL,ATH-NYM,ARI-PHI,,COL-SDP,,BOS-STL,,,SFG-BAL,,,,MIA-DET,,CHW-KCR,,,,HOU-SEA,NYY-TBR,,MIN-TOR
2026-04-11,,CLE-ATL,PIT-CHC,LAA-CIN,,TEX-LAD,,WSH-MIL,ATH-NYM,ARI-PHI,,COL-SDP,,BOS-STL,,,SFG-BAL,,,,MIA-DET,,CHW-KCR,,,,HOU-SEA,NYY-TBR,,MIN-TOR
2026-04-12,,CLE-ATL,PIT-CHC,LAA-CIN,,TEX-LAD,,WSH-MIL,ATH-NYM,ARI-PHI,,COL-SDP,,BOS-STL,,,SFG-BAL,,,,MIA-DET,,CHW-KCR,,,,HOU-SEA,NYY-TBR,,MIN-TOR
2026-04-13,,MIA-ATL,,,,NYM-LAD,,,,CHC-PHI,WSH-PIT,,,CLE-STL,,TEX-ATH,ARI-BAL,,,,,,,,BOS-MIN,LAA-NYY,HOU-SEA,,,
2026-04-14,,MIA-ATL,,SFG-CIN,,NYM-LAD,,TOR-MIL,,CHC-PHI,WSH-PIT,SEA-SDP,,CLE-STL,,TEX-ATH,ARI-BAL,,TBR-CHW,,KCR-DET,COL-HOU,,,BOS-MIN,LAA-NYY,,,,
2026-04-15,,MIA-ATL,,SFG-CIN,,NYM-LAD,,TOR-MIL,,CHC-PHI,WSH-PIT,SEA-SDP,,CLE-STL,,TEX-ATH,ARI-BAL,,TBR-CHW,,KCR-DET,COL-HOU,,,BOS-MIN,LAA-NYY,,,,
2026-04-16,,,,SFG-CIN,,,,TOR-MIL,,,WSH-PIT,SEA-SDP,,,,TEX-ATH,,,TBR-CHW,BAL-CLE,KCR-DET,COL-HOU,,,,LAA-NYY,,,,
2026-04-17,TOR-ARI,,NYM-CHC,,LAD-COL,,MIL-MIA,,,ATL-PHI,TBR-PIT,,,,SFG-WSH,CHW-ATH,,DET-BOS,,BAL-CLE,,STL-HOU,,SDP-LAA,CIN-MIN,KCR-NYY,TEX-SEA,,,
2026-04-18,TOR-ARI,,NYM-CHC,,LAD-COL,,MIL-MIA,,,ATL-PHI,TBR-PIT,,,,SFG-WSH,CHW-ATH,,DET-BOS,,BAL-CLE,,STL-HOU,,SDP-LAA,CIN-MIN,KCR-NYY,TEX-SEA,,,
2026-04-19,TOR-ARI,,NYM-CHC,,LAD-COL,,MIL-MIA,,,ATL-PHI,TBR-PIT,,,,SFG-WSH,CHW-ATH,,DET-BOS,,BAL-CLE,,STL-HOU,,SDP-LAA,CIN-MIN,KCR-NYY,TEX-SEA,,,
2026-04-20,,,PHI-CHC,,LAD-COL,,STL-MIA,,,,,,,,ATL-WSH,,,DET-BOS,,HOU-CLE,,,BAL-KCR,TOR-LAA,,,ATH-SEA,CIN-TBR,,
2026-04-21,CHW-ARI,,PHI-CHC,,SDP-COL,,STL-MIA,,MIN-NYM,,,,LAD-SFG,,ATL-WSH,,,NYY-BOS,,HOU-CLE,MIL-DET,,BAL-KCR,TOR-LAA,,,ATH-SEA,CIN-TBR,PIT-TEX,
2026-04-22,CHW-ARI,,PHI-CHC,,SDP-COL,,STL-MIA,,MIN-NYM,,,,LAD-SFG,,ATL-WSH,,,NYY-BOS,,HOU-CLE,MIL-DET,,BAL-KCR,TOR-LAA,,,ATH-SEA,CIN-TBR,PIT-TEX,
2026-04-23,CHW-ARI,,PHI-CHC,,SDP-COL,,,,MIN-NYM,,,,LAD-SFG,,ATL-WSH,,,NYY-BOS,,,MIL-DET,,,,,,,,PIT-TEX,
